Name,Url
IRAS Website,https://www.iras.gov.sg
CCCS Corporate Website,https://www.cccs.gov.sg/
Singapore Budget Website (General),https://www.mof.gov.sg/singaporebudget
MOF Corporate Website,https://www.mof.gov.sg/
Vital Corporate Website,https://www.vital.gov.sg
CorpPass,https://www.corppass.gov.sg
Accounting Standards Council Singapore,https://www.asc.gov.sg
CPIB Corporate Website,https://www.cpib.gov.sg
Unclaimed Monies,https://www.unclaimedmonies.gov.sg
MINISTRY OF COMMUNICATIONS AND INFORMATION (MCI),https://www.mci.gov.sg
National Climate Change Secretariat,https://www.nccs.gov.sg
Tote Board,https://www.toteboard.gov.sg
NRF Website,https://www.nrf.gov.sg
REACH,https://www.reach.gov.sg
Strategy Group Website,https://www.strategygroup.gov.sg
IMDA Corporate Website,https://www.imda.gov.sg/
Istana,https://www.istana.gov.sg/
SingCert,https://www.csa.gov.sg/singcert
Gosafeonline,https://www.csa.gov.sg/gosafeonline
CSA.gov.sg,https://www.csa.gov.sg
ELD Corporate Website,https://www.eld.gov.sg/
Prime Minister's Office Singapore,https://www.pmo.gov.sg/
CodeSG,https://codesg.imda.gov.sg
Accounting Standards for Statutory Boards (ASSB),https://www.assb.gov.sg
AGD Corporate Website,https://www.agd.gov.sg
Intellectual Property Office of Singapore,https://www.ipos.gov.sg
Smart Nation Website,https://www.smartnation.gov.sg
eCitizen Ideas!,https://www.ideas.gov.sg
UEN search,https://www.uen.gov.sg
BizFile+,https://www.bizfile.gov.sg
ACRA Corporate Website,https://www.acra.gov.sg
NSCS Website,https://www.nscs.gov.sg
Business Grants Portal,https://www.businessgrants.gov.sg
PSC Corporate Website,https://www.psc.gov.sg
Careers@Gov,https://www.careers.gov.sg/
Challenge Online,https://www.psd.gov.sg/challenge
PSD Corporate Website,https://www.psd.gov.sg
Centre for Strategic Futures,https://www.csf.gov.sg
Gov.sg Website,https://www.gov.sg
GovTech,https://www.tech.gov.sg
Singapore Customs Corporate Website,https://www.customs.gov.sg
National Immunisation Registry,https://www.nir.hpb.gov.sg/nirp/eservices/login
Parliament Website,https://www.parliament.gov.sg
HPB Corporate Website,https://www.hpb.gov.sg/
Singapore Legal Service,https://www.lsc.gov.sg
Ministry of Law,https://www.mlaw.gov.sg
AGO Website,https://www.ago.gov.sg
Council For Estate Agencies,https://www.cea.gov.sg
AGC Corporate Website,https://www.agc.gov.sg
URA Corporate Website,https://www.ura.gov.sg
NParks Corp Website,https://www.nparks.gov.sg
Health Professional Portal,https://www.moh.gov.sg/hpp
Singapore Botanical Gardens,https://www.nparks.gov.sg/sbg
My Green Space,https://www.nparks.gov.sg/nparksbuzz
BIOME,https://biome.nparks.gov.sg
Flora and Fauna Website,https://www.nparks.gov.sg/florafaunaweb
Festival of Biodiversity,https://www.nparks.gov.sg/festivalofbiodiversity
Pulau Ubin Microsite,https://www.nparks.gov.sg/pulau-ubin
CORENET e-Information System,https://www.corenet.gov.sg
National Medical Research Council,https://www.nmrc.gov.sg
Singapore Food Agency (SFA),https://www.sfa.gov.sg/
Professional Engineers Board Singapore,https://www.peb.gov.sg
Singapore Statutes Online Plus,https://sso.agc.gov.sg
eLicensing,https://elis.moh.gov.sg/elis
Biosafety Website,https://www.moh.gov.sg/biosafety
Specialist Accreditation Board,https://www.healthprofessionals.gov.sg/sab
CRMS MOH Feedback page,https://crms.moh.gov.sg/mohfeedback.aspx
Sky Rise Greenery,https://www.nparks.gov.sg/skyrisegreenery
Strata Titles Boards website,https://www.stratatb.gov.sg
State Property Information Online (SPIO),https://app.sla.gov.sg/spio/
NRDO Website,https://www.nrdo.gov.sg
BCA Corporate Website,https://www.bca.gov.sg
MOH Corporate Website,https://www.moh.gov.sg
ACE,https://www.ace-hta.gov.sg/
Singapore Medical Council,https://www.healthprofessionals.gov.sg/smc
CUGE Website,https://www.nparks.gov.sg/cuge
Singapore Nursing Board,https://www.healthprofessionals.gov.sg/snb
Singapore Dental Council,https://www.healthprofessionals.gov.sg/sdc
Dental Specialists Accreditation Board,https://www.healthprofessionals.gov.sg/dsab
Allied Health Professions Council,https://www.healthprofessionals.gov.sg/ahpc
Singapore Pharmacy Council,https://www.healthprofessionals.gov.sg/spc
Optometrists and Opticians Board (OOB),https://www.healthprofessionals.gov.sg/oob
Family Physicians Accreditation Board,https://www.healthprofessionals.gov.sg/fpab
SLA Corporate Website,https://www.sla.gov.sg/
Child Consent Portal,https://childconsent.hpb.gov.sg/
Lands Dealings Approval Unit (LDAU) System,https://app1.sla.gov.sg/ldau/
Pharmacy Specialists Accreditation Board,https://www.healthprofessionals.gov.sg/psab
STARS eLodgment System GCC (ELSGCC),https://app.sla.gov.sg/stars/
My Property Portal,https://app1.sla.gov.sg/MyProperty
Singapore International Commercial Court,https://www.sicc.gov.sg
Traditional Chinese Medicine Practitioners Board,https://www.healthprofessionals.gov.sg/tcmpb
IAC Website,https://www.iac.gov.sg
Haze Website,https://www.haze.gov.sg/
NEA Corporate Website,https://www.nea.gov.sg
HDB InfoWEB,https://www.hdb.gov.sg/
HSA Corporate Website,https://www.hsa.gov.sg/
CPF Website,https://www.cpf.gov.sg
MSE Corporate Website,https://www.mse.gov.sg
CNB Corporate Website,https://www.cnb.gov.sg
SILVER SUPPORT,https://www.silversupport.gov.sg/
IMTalent,https://www.imda.gov.sg/imtalent
Ministry Of National Development Website,https://www.mnd.gov.sg
Centre For Liveable Cities Website,https://www.clc.gov.sg
Special Employment Credit(SEC) Website,https://www.sec.gov.sg
GST Voucher Website,https://www.gstvoucher.gov.sg
SportSG Corporate Website,https://www.sportsingapore.gov.sg
MyActiveSG,https://www.myactivesg.com
PTC Corporate Website,https://www.ptc.gov.sg
COE Bidding System,https://ocoe.lta.gov.sg
Labour Market Statistical Information,https://stats.mom.gov.sg/
National Heritage Board,https://www.nhb.gov.sg
LTA PROMPT 2.0,https://prompt.lta.gov.sg
PUB corporate website,https://www.pub.gov.sg
NAC Corporate Website,https://www.nac.gov.sg
MOT Internet Web Portal,https://www.mot.gov.sg
People's Association Corporate Website,https://www.pa.gov.sg
Charity Portal Website,https://www.charities.gov.sg
NYC and OBS Corporate Website,https://www.nyc.gov.sg
MCCY Corporate Website,https://www.mccy.gov.sg
MHA (Ministry of Home Affairs),https://www.mha.gov.sg
Syariah Court Website,https://www.syariahcourt.gov.sg
Workfare Portal,https://www.workfare.gov.sg
Singapore Satellite Positioning Reference Network (SiReNT),https://app.sla.gov.sg/sirent/
MOM Corporate Website,https://www.mom.gov.sg
Weather Information Website,http://www.weather.gov.sg
Centre for Climate Research Singapore,http://ccrs.weather.gov.sg
IFeelYoung,https://www.moh.gov.sg/ifeelyoungsg
Temporary Occupational License (TOL),https://app1.sla.gov.sg/tol
MINDEF Singapore,https://www.mindef.gov.sg
PDPC Website,https://www.pdpc.gov.sg
Ministry of Social and Family Development (MSF) Corporate Website,https://www.msf.gov.sg/
www.mti.gov.sg,https://www.mti.gov.sg
Jurong Lake Gardens,https://www.nparks.gov.sg/juronglakegardens
Rail Corridor Microsite,https://www.nparks.gov.sg/railcorridor
Majlis Ugama Islam Singapura,https://www.muis.gov.sg
Sentosa Corporate Website,https://www.sentosa.gov.sg
Registry of Marriages,https://www.rom.gov.sg
ECDA Corporate Website,https://www.ecda.gov.sg
ICA Corporate Website,https://www.ica.gov.sg/
Baby Bonus Online,https://www.babybonus.msf.gov.sg
SingStat Website,https://www.singstat.gov.sg
STB Corporate Website,https://www.stb.gov.sg
Hotels Licensing Board,https://www.hlb.gov.sg
CRA Corporate Website,https://www.cra.gov.sg/
FACSMAB,https://www.facsmab.org
Singapore Police Force,https://www.police.gov.sg
Made For Families,https://www.madeforfamilies.gov.sg
Board of Architects,https://www.boa.gov.sg
CAAS Corporate Website,https://www.caas.gov.sg
ROMM Website,https://www.romm.gov.sg
EMA Corporate Website,https://www.ema.gov.sg/
ELISE,https://elise.ema.gov.sg
Energy and Emissions Statistics Online Survey System,https://oss.ema.gov.sg
SPS corporate website,https://www.sps.gov.sg
SCORE,https://www.yellowribbon.gov.sg/
CSC Corporate Website,https://www.csc.gov.sg
JTC Corporate Website,https://www.jtc.gov.sg
Population.gov.sg,https://www.population.gov.sg
NLB Corporate,https://www.nlb.gov.sg
Deposit Web,https://www.nlb.gov.sg/depositapp
NL Exhibitions,https://exhibitions.nlb.gov.sg
SURE,https://sure.nlb.gov.sg/
BiblioAsia,https://biblioasia.nlb.gov.sg
Discover Reads,https://childrenandteens.nlb.gov.sg/
Friends of the Library,https://www.nlb.gov.sg/volunteers/
myLibraryID,https://www.nlb.gov.sg/mylibrary/
eResources,https://eResources.nlb.gov.sg
NewspaperSG,https://eResources.nlb.gov.sg/newspapers
HistorySG,https://eResources.nlb.gov.sg/history
Infopedia,https://eResources.nlb.gov.sg/infopedia/
PictureSG,https://eResources.nlb.gov.sg/pictures
BookSG,https://eResources.nlb.gov.sg/printheritage/
WAS - Web Archive Singapore,https://eResources.nlb.gov.sg/webarchives
MusicSG,https://eResources.nlb.gov.sg/music
eReads,https://eResources.nlb.gov.sg/ereads
NAS Corporate,https://corporate.nas.gov.sg
NAS Archives Online,https://www.nas.gov.sg/
Citizen Archivist,https://www.nas.gov.sg/citizenarchivist
OneSearch,https://search.nlb.gov.sg
NLB Catalogue,https://catalogue.nlb.gov.sg
IRCC Website,https://www.ircc.sg
MFA eRegister Info,https://eregister.mfa.gov.sg
Ministry of Foreign Affairs,https://www.mfa.gov.sg
MPA Corporate Website,https://www.mpa.gov.sg
AIM-SG,https://aim-sg.caas.gov.sg/
MOE Corporate Website,https://www.moe.gov.sg
aem.moe.gov.sg,https://aem.moe.gov.sg
Singapore Global Investor Programme,https://application.sgip.gov.sg
MOE School Administration Services Hub,https://schadmsvc.moe.gov.sg/
SPED Staff Management System,https://spedstaff.moe.gov.sg
Singapore Civil Defence Force,https://www.scdf.gov.sg
Economic Development Board [SG],https://www.edb.gov.sg
SAC Accreditation Website,https://www.sac-accreditation.gov.sg/
National Council of Social Service,https://www.ncss.gov.sg
LicenceOne,https://licence1.business.gov.sg/
EnterpriseSG Corporate Website,https://www.enterprisesg.gov.sg
Tourism Information and Services Hub (TIH),https://tih.stb.gov.sg
trees.sg,https://www.nparks.gov.sg/treessg
SSG-WSG Corporate Website,https://www.ssg-wsg.gov.sg
J-SPACE,https://stats.jtc.gov.sg
ACRA API Mall,https://www.apimall.acra.gov.sg
SEAB Corporate Website,https://www.seab.gov.sg
SEARADO,https://www.searado.com
Clean & Green Singapore,https://www.cgs.gov.sg
Clean Enviro Summit Singapore,https://www.cleanenvirosummit.gov.sg
Public Hygiene Council,https://www.publichygienecouncil.sg
www.worldcitiessummit.com.sg,https://www.worldcitiessummit.com.sg
Workplace Safety and Health Institute,https://www.wshi.gov.sg/
Liveon Website,https://www.liveon.gov.sg
Garden City Fund,https://www.gardencityfund.gov.sg
Singapore Garden Festival,https://www.nparks.gov.sg/singaporegardenfestival
NS Portal,https://www.ns.sg
MAS,https://www.mas.gov.sg
MoneySENSE,https://www.moneysense.gov.sg
EMART2,https://www.ns.sg/nsp/myportal/site/mha/shop-at-emart
Schoolbag,https://www.schoolbag.edu.sg/
Lee Kuan Yew World City Prize,https://www.leekuanyewworldcityprize.gov.sg/
Marina Bay Countdown,https://www.marinabaycountdown.gov.sg
Are You Ready,https://www.areyouready.gov.sg
VisitSingapore,https://www.visitsingapore.com
CareShield Life,https://www.moh.gov.sg/careshieldlife
GeBIZ,https://www.gebiz.gov.sg
Bioethics Advisory Committee (BAC) Website,https://www.bioethics-singapore.gov.sg
Lee Kuan Yew Fund for Bilingualism,https://www.bilingualism.sg
DSTA Internet Website,https://www.dsta.gov.sg
PAssion Card,https://www.passioncard.gov.sg
ACRA Academy eLearning Portal,https://elearn.acra.gov.sg
OneMap,https://www.onemap.gov.sg
GeoSpatial Website,https://www.sla.gov.sg/geospatial
GeoWorks Website,https://www.sla.gov.sg/geoworks
Chingay,https://www.chingay.gov.sg
Harmony in Diversity Gallery,https://www.harmonyindiversitygallery.gov.sg
Families for Life,https://familiesforlife.sg
CDC,https://www.cdc.gov.sg
Heritage Plan for Singapore,https://www.oursgheritage.gov.sg
Speak Good English Movement,https://www.languagecouncils.sg/goodenglish
Speak Mandarin Campaign,https://www.languagecouncils.sg/mandarin
Tamil Language Council,https://www.languagecouncils.sg/tamil
Majilis Bahasa Melayu Singapura,https://www.languagecouncils.sg/mbms
Bras Basah Bugis,https://www.nhb.gov.sg/brasbasahbugis
Singapore Philatelic Museum,https://www.nhb.gov.sg/spm
Singapore Heritage Festival,https://www.sgheritagefest.gov.sg
Singapore Night Festival,https://www.nightfestival.gov.sg
Asian Civilisations Museum,https://www.nhb.gov.sg/acm
The Peranakan Museum,https://www.nhb.gov.sg/peranakanmuseum
National Museum Singapore,https://www.nhb.gov.sg/nationalmuseum
Indian Heritage Centre,https://www.indianheritage.gov.sg
Sun Yat Sen Nanyang Memorial Hall,https://www.sysnmh.org.sg
Malay Heritage Centre,https://www.malayheritage.gov.sg
SGSecure,https://www.sgsecure.gov.sg
Community Chest,https://www.comchest.gov.sg
Singapore Youth Festival,https://www.syf.gov.sg/
